Test Name	Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	BertScore F1	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	de	['babelscape_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	a45743c881f441788742da33fbaee226QALD10-MT_de-babelscape_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140402	0.904160163	30.63	0.3	0.37	0.6	0.5	0	2022-10-14 07:25:22	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	2add516a8f7445b59519896857f8bdefQALD10-MT_de-babelscape_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140403	0.9146282794	34.39	0.34	0.39	0.63	0.45	0	2022-10-14 07:25:49	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	d9e7701923a442b5bfc842f5a9f73802QALD10-MT_de-babelscape_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140404	0.9237451233	33.97	0.34	0.4	0.62	0.45	0	2022-10-14 07:26:16	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	ef257ebf316f4f4bafbd3457de75ead7QALD10-MT_de-babelscape_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140405	0.9198772328	33.67	0.33	0.39	0.62	0.47	0	2022-10-14 07:26:43	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	a1b55622a3af4739abeebdf3e270d150QALD10-MT_de-babelscape_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140406	0.9425255568	32.29	0.32	0.39	0.62	0.48	0	2022-10-14 07:27:10	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	abbaf4d9bd8641569b87cd48da429e32QALD10-MT_de-babelscape_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140407	0.9506121403	35.53	0.35	0.41	0.65	0.43	0	2022-10-14 07:27:37	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	094c30b23e8d4ac7983c7e3b078abdbbQALD10-MT_de-babelscape_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140408	0.9528197413	35.4	0.35	0.41	0.64	0.44	0	2022-10-14 07:28:04	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	dd51538b1e24483ab3637f2a8331046eQALD10-MT_de-babelscape_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140409	0.9462325606	34.88	0.35	0.4	0.64	0.45	0	2022-10-14 07:28:31	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	2dba0da26ef24761b57554ad97a4a157QALD10-MT_de-flair_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140410	0.9137478009	31.32	0.31	0.38	0.6	0.49	0	2022-10-14 07:28:58	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	b7d48ddf18ce4da8a7273823da0d12abQALD10-MT_de-flair_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140411	0.9272025942	34.72	0.34	0.4	0.63	0.44	0	2022-10-14 07:29:25	1.2.7
